,ax,ay,az,gx,gy,gz,action
94,-1.09,-1.48,1.06,110.94,34.07,-77.12,grenade
95,-1.51,-1.99,-3.31,78.2,-16.37,-60.73,grenade
96,-0.82,-2.5,-3.38,-39.47,-151.82,-80.11,grenade
97,-0.85,-2.73,-3.58,-107.03,-154.14,-85.85,grenade
98,-3.03,-3.65,-2.84,-173.9,-162.82,-36.62,grenade
99,-3.07,-4.45,-2.29,-210.49,-270.94,75.39,grenade
100,2.39,-7.62,-3.7,-251.51,260.74,208.61,grenade
101,14.24,-17.79,-6.81,-319.05,208.23,311.88,grenade
102,18.6,-18.27,-7.98,-97.35,220.26,228.56,grenade
103,20.01,-21.16,-8.95,13.87,262.1,257.05,grenade
104,17.34,-16.36,-10.32,96.97,-268.89,149.45,grenade
105,3.92,-17.16,-8.38,-155.34,-269.7,269.76,grenade
106,-5.4,-17.76,-15.4,-155.34,236.69,-297.67,grenade
107,-8.35,-13.32,-26.06,-155.34,53.98,-237.06,grenade
108,-11.63,-2.45,-29.7,-155.34,-114.38,-64.59,grenade
109,-14.29,-8.57,-20.11,230.96,-24.03,29.22,grenade
110,-10.94,-6.62,-22.95,194.13,-209.24,269.12,grenade
111,-3.16,-7.3,-18.71,13.99,-168.16,-266.77,grenade
112,-1.12,-8.34,-14.44,-202.83,-93.74,-245.05,grenade
113,-0.68,-14.86,-8.58,-320.64,-18.34,-233.3,grenade
114,1.36,-15.61,-10.15,209.61,-169.53,-173.59,grenade
115,7.28,-32.34,-6.03,155.33,-146.95,-155.34,grenade
116,8.74,-32.62,5.8,155.33,-292.63,-155.34,grenade
117,-10.24,-44.94,27.86,-291.17,-249.08,-289.38,grenade
118,23.24,5.79,28.88,-75.33,155.33,-257.61,grenade
119,4.66,-6.2,13.72,-238.91,-202.89,-42.97,grenade
120,-10.62,1.94,9.16,11.18,219.34,75.94,grenade
121,3.75,-3.66,24.41,-273.88,197.11,-7.56,grenade
122,8.69,-6.61,12.8,-15.42,66.67,-8.31,grenade
123,0.05,-1.18,11.3,119.36,152.95,-37.52,grenade
124,-0.43,-2.56,13.25,-75.62,-82.02,-26.72,grenade
125,1.38,-3.85,12.99,64.45,12.6,-16.69,grenade
126,0.17,-3.58,13.09,73.79,-13.23,-25.43,grenade
127,-0.4,-2.67,11.05,117.95,-17.93,-44.36,grenade
128,-0.71,-1.75,6.66,123.04,-2.27,-52.0,grenade
129,-1.09,-1.48,1.06,110.94,34.07,-77.12,grenade
130,-1.51,-1.99,-3.31,78.2,-16.37,-60.73,grenade
131,-0.82,-2.5,-3.38,-39.47,-151.82,-80.11,grenade
132,-0.85,-2.73,-3.58,-107.03,-154.14,-85.85,grenade
133,-3.03,-3.65,-2.84,-173.9,-162.82,-36.62,grenade
134,-3.07,-4.45,-2.29,-210.49,-270.94,75.39,grenade
135,2.39,-7.62,-3.7,-251.51,260.74,208.61,grenade
136,14.24,-17.79,-6.81,-319.05,208.23,311.88,grenade
137,18.6,-18.27,-7.98,-97.35,220.26,228.56,grenade
138,20.01,-21.16,-8.95,13.87,262.1,257.05,grenade
139,17.34,-16.36,-10.32,96.97,-268.89,149.45,grenade
140,13.59,-18.02,-5.11,-155.34,277.18,201.41,grenade
141,7.83,-20.78,-5.45,-155.34,-317.52,194.39,grenade
142,-4.83,-19.8,-12.19,-155.34,287.84,302.16,grenade
143,-10.73,-16.83,-23.83,-155.34,101.17,-271.07,grenade
144,-15.6,-2.81,-31.8,-155.34,-84.47,-122.98,grenade
145,-13.28,-6.96,-23.4,260.57,-92.0,-10.55,grenade
146,-13.08,-5.05,-24.45,244.23,-158.87,184.0,grenade
147,-4.42,-3.49,-20.66,141.52,-248.73,302.27,grenade
148,-1.78,-3.96,-16.2,-50.38,-85.1,-288.12,grenade
149,-1.12,-8.09,-11.68,-315.36,-52.26,-228.13,grenade
150,0.29,-18.47,-8.47,251.55,-50.75,-200.24,grenade
151,2.3,-21.6,-9.18,155.33,-216.72,-155.34,grenade
152,8.75,-37.49,-2.02,155.33,8.48,-155.34,grenade
153,-2.65,-31.07,1.13,155.33,-155.34,-155.34,grenade
154,6.85,-17.08,14.34,-120.09,193.46,44.29,grenade
155,19.61,0.59,9.82,-264.73,-131.11,-14.2,grenade
156,-3.55,-20.37,32.46,45.41,-155.34,86.78,grenade
157,-4.25,-1.88,15.79,-76.52,-266.62,-47.73,grenade
158,8.95,-8.42,17.78,-138.4,-128.77,24.24,grenade
159,1.9,-7.07,19.08,111.15,214.93,-40.01,grenade
160,1.25,-3.06,13.66,-26.41,-95.48,-34.21,grenade
161,1.89,-5.73,13.37,50.32,1.29,-40.4,grenade
162,0.34,-5.08,11.48,56.32,-37.66,-42.3,grenade
163,0.74,-4.1,6.87,70.05,-49.9,-62.88,grenade
164,1.02,-3.77,3.4,36.71,-9.11,-85.77,grenade
165,0.37,-5.14,-0.74,6.31,10.26,-103.26,grenade
166,-0.51,-5.32,-1.83,43.97,-9.0,-151.62,grenade
167,-2.71,-3.91,-2.79,28.44,-22.9,-160.9,grenade
168,-4.06,-2.34,-2.71,-19.67,-147.85,-102.77,grenade
169,-2.92,-0.86,-2.08,-113.87,-281.39,14.86,grenade
170,-0.59,-3.76,-1.51,-225.17,309.18,200.65,grenade
171,9.55,-10.81,-1.9,310.86,186.76,326.99,grenade
172,20.41,-18.7,-6.67,-111.81,236.46,261.38,grenade
173,21.17,-17.67,-3.17,-79.38,322.97,276.84,grenade
174,18.01,-15.17,-4.51,62.42,-122.53,191.58,grenade
175,22.01,-11.53,3.71,-223.03,114.16,-297.5,grenade
176,20.66,-12.01,-0.24,-204.84,221.36,313.91,grenade
177,16.14,-16.08,-4.21,-183.25,314.5,256.13,grenade
178,10.69,-17.62,-6.92,-156.23,-269.2,236.94,grenade
179,1.1,-19.32,-10.38,-155.34,-246.15,303.88,grenade
180,-4.73,-18.45,-17.0,-155.34,217.27,-279.34,grenade
181,-7.97,-13.93,-25.16,-155.34,42.13,-205.12,grenade
182,-12.21,-4.8,-29.94,-176.84,-64.87,-90.49,grenade
183,-16.42,-10.63,-22.14,214.11,39.03,43.24,grenade
184,-11.72,-8.88,-21.91,200.3,-189.37,278.83,grenade
185,-4.29,-6.99,-19.11,48.87,-166.31,-275.27,grenade
186,-1.22,-7.37,-14.09,-191.2,-78.11,-242.25,grenade
187,-0.11,-8.79,-11.19,312.47,-83.51,-236.4,grenade
188,2.69,-14.37,-10.53,192.32,-138.42,-229.28,grenade
189,4.26,-19.67,-9.2,155.33,-127.4,-169.24,grenade
190,4.71,-28.74,-3.92,155.33,98.56,-203.5,grenade
191,2.37,-32.35,1.82,155.33,198.47,-217.36,grenade
192,3.74,-22.98,18.37,-94.59,-105.64,181.88,grenade
193,15.43,1.9,18.42,-148.61,-241.61,-98.18,grenade
194,3.06,-12.6,22.96,-149.91,-155.34,48.35,grenade
195,-6.4,0.8,19.16,27.23,-13.87,-30.12,grenade
196,5.68,-5.09,19.97,-96.73,-155.77,-25.75,grenade
197,2.49,-4.41,18.81,39.93,126.3,-10.08,grenade
