,ax,ay,az,gx,gy,gz,action
95,-1.05,-6.02,-3.29,-110.57,-230.94,210.83,grenade
96,6.32,-10.42,-2.4,-103.03,252.94,289.02,grenade
97,15.61,-16.0,-4.79,3.84,-310.29,296.91,grenade
98,14.39,-12.63,-8.32,16.43,-252.4,227.51,grenade
99,18.99,-16.77,-7.9,1.72,-311.99,273.52,grenade
100,15.36,-13.12,-7.83,48.72,-130.35,176.0,grenade
101,10.25,-11.68,-7.49,28.07,-138.83,126.76,grenade
102,8.74,-11.32,-6.99,5.26,-164.79,99.58,grenade
103,7.92,-9.71,-5.42,15.5,-104.1,65.93,grenade
104,4.47,-8.78,-4.82,-5.93,-15.24,7.87,grenade
105,23.1,-25.87,-5.68,79.0,-312.4,155.33,grenade
106,24.71,-15.72,-5.71,120.3,-181.22,155.33,grenade
107,22.42,-5.94,-4.79,13.67,-149.02,155.33,grenade
108,22.49,-8.1,1.59,-270.83,-55.36,155.33,grenade
109,9.88,-21.91,3.29,-160.41,234.98,155.33,grenade
110,-13.16,-14.06,-8.95,212.61,239.58,155.33,grenade
111,-12.92,4.52,-20.38,87.34,-36.5,-257.52,grenade
112,-14.38,4.06,-21.36,-107.52,50.7,-44.11,grenade
113,-6.72,4.85,-18.85,-230.16,14.11,107.97,grenade
114,-1.89,-1.28,-15.06,217.49,-103.75,77.9,grenade
115,-3.42,-7.25,-8.9,155.33,6.85,96.04,grenade
116,-3.9,-13.44,-3.19,195.67,42.74,132.94,grenade
117,-2.81,-14.68,-1.78,312.72,4.68,178.34,grenade
118,-1.36,-13.37,2.77,-265.56,27.48,147.65,grenade
119,-0.05,-11.07,12.94,-149.21,33.41,151.08,grenade
120,2.14,-3.65,21.16,-126.53,76.66,71.49,grenade
121,1.95,-6.01,25.04,-120.49,-52.2,5.46,grenade
122,2.79,-3.18,19.05,43.75,-49.45,-10.98,grenade
123,3.08,-0.63,13.62,22.12,-33.95,-34.86,grenade
124,0.98,-2.4,9.59,5.53,16.09,-46.29,grenade
125,-1.01,-2.82,4.83,11.55,-7.15,-73.62,grenade
126,-2.63,-2.11,1.36,-0.56,-79.73,-105.56,grenade
127,-3.44,-1.74,-0.67,-46.86,-161.84,-110.17,grenade
128,-3.73,-0.84,-2.11,-82.73,-226.76,-74.59,grenade
129,-1.93,-2.37,-2.4,-121.98,317.94,-7.12,grenade
130,-0.41,-4.06,-2.09,-103.46,-244.41,97.22,grenade
131,-0.23,-5.26,-2.84,-89.33,-222.87,172.11,grenade
132,4.15,-9.18,-3.29,-94.52,294.48,244.23,grenade
133,10.13,-13.46,-6.16,-8.36,281.36,279.31,grenade
134,15.71,-16.03,-7.25,30.23,316.36,269.88,grenade
135,13.53,-14.27,-10.59,102.28,-154.47,208.66,grenade
136,14.83,-15.22,-10.07,71.58,-261.52,223.72,grenade
137,12.78,-13.11,-7.84,47.77,-56.37,184.99,grenade
138,8.77,-11.89,-6.84,55.25,-84.92,99.57,grenade
139,7.24,-9.77,-6.75,33.19,-95.77,53.1,grenade
140,21.1,-17.04,3.65,327.02,-157.69,155.33,grenade
141,21.35,-4.99,1.63,270.54,-82.75,155.33,grenade
142,24.84,-0.32,2.88,161.92,-130.65,155.33,grenade
143,18.21,-9.24,5.28,41.61,64.47,155.33,grenade
144,1.62,-15.1,-0.47,181.04,102.01,155.33,grenade
145,-8.89,-5.34,-16.09,238.45,57.78,301.53,grenade
146,-10.17,4.45,-22.86,10.01,34.09,-123.98,grenade
147,-6.63,4.92,-21.22,-190.41,-105.53,18.61,grenade
148,-3.43,-7.39,-12.71,155.33,0.59,86.7,grenade
149,-4.82,-15.09,-5.42,166.72,48.23,101.46,grenade
150,-4.84,-14.79,-3.06,294.45,9.4,158.84,grenade
151,-3.45,-13.44,2.29,-299.98,53.3,157.63,grenade
152,-1.94,-12.68,11.43,-252.76,17.53,162.83,grenade
153,3.72,-8.47,23.21,-158.5,-22.58,107.14,grenade
154,2.43,-7.51,25.79,-105.46,16.72,1.41,grenade
155,1.76,-4.05,18.61,52.11,-61.65,-21.24,grenade
156,3.29,-1.2,12.34,11.58,-38.21,-24.56,grenade
157,1.65,-3.17,8.1,-10.48,34.85,-40.43,grenade
158,-1.19,-2.36,5.03,-7.2,27.36,-69.5,grenade
159,-2.65,-3.13,1.86,-32.25,-59.89,-90.0,grenade
160,-2.83,-1.5,-0.62,-27.48,-135.58,-102.1,grenade
161,-3.16,-1.87,-1.93,-105.08,-217.05,-85.47,grenade
162,-2.95,-2.63,-2.86,-115.57,-304.87,-23.22,grenade
163,-2.87,-3.53,-3.24,-105.11,306.02,52.58,grenade
164,0.91,-7.68,-4.95,-99.0,205.32,164.79,grenade
165,8.63,-12.11,-6.08,14.25,274.99,251.89,grenade
166,12.3,-13.45,-9.28,88.18,-237.5,256.0,grenade
167,15.28,-14.2,-10.91,59.37,-299.82,253.33,grenade
168,15.82,-13.81,-9.92,47.1,-206.52,244.64,grenade
169,14.31,-14.92,-8.09,44.45,-185.63,196.3,grenade
170,12.86,-12.2,-6.89,78.89,-82.34,154.47,grenade
171,7.95,-10.51,-6.48,32.39,-40.45,93.8,grenade
172,6.31,-9.5,-5.7,17.93,-125.77,35.51,grenade
173,5.56,-8.72,-4.65,-5.92,-41.15,19.47,grenade
174,3.13,-8.75,-3.79,-5.52,43.58,11.56,grenade
175,27.62,-7.81,-1.64,-186.64,-123.89,155.33,grenade
176,25.75,-19.67,5.29,-222.62,1.57,155.33,grenade
177,-0.53,-29.81,-0.78,20.37,224.3,155.33,grenade
178,-13.64,-10.46,-13.21,274.02,103.87,161.48,grenade
179,-16.39,3.93,-19.69,-3.12,56.11,-207.94,grenade
180,-11.28,2.53,-17.1,-144.93,3.95,47.58,grenade
181,-5.05,2.38,-14.24,-239.07,-49.1,55.37,grenade
182,-3.07,-1.96,-12.49,251.16,-0.19,104.11,grenade
183,-5.32,-7.1,-8.3,159.95,44.36,101.55,grenade
184,-5.51,-9.18,-7.76,262.71,5.41,149.71,grenade
185,-4.93,-12.47,-4.12,202.48,-30.7,155.43,grenade
186,-3.06,-17.52,0.97,279.07,-88.17,212.48,grenade
187,1.39,-16.6,10.45,-259.98,-11.1,211.9,grenade
188,4.83,-11.11,20.8,-182.79,57.54,118.34,grenade
189,4.91,-7.61,24.73,-105.18,-49.03,-10.97,grenade
190,3.91,-7.78,24.52,-13.09,-22.87,-59.72,grenade
191,0.64,-2.84,16.44,110.89,17.65,-48.0,grenade
192,1.91,-1.98,12.47,12.48,-25.71,-36.63,grenade
193,1.26,-4.13,7.85,47.94,18.64,-63.05,grenade
194,-1.55,-3.0,3.73,43.21,15.71,-80.45,grenade
