,ax,ay,az,gx,gy,gz,action
95,0.7,-1.08,2.63,-58.68,-182.58,-59.92,grenade
96,0.16,-2.68,2.85,-15.64,-174.1,-132.02,grenade
97,-0.46,-3.43,3.26,48.55,-160.5,-130.67,grenade
98,-0.9,0.35,-0.3,43.07,-106.19,-94.56,grenade
99,-2.37,1.5,-0.47,-19.41,-63.39,-49.27,grenade
100,-3.89,5.1,-0.67,-107.04,-78.2,59.71,grenade
101,1.49,-7.0,6.76,270.25,-90.03,307.19,grenade
102,7.65,-13.86,10.87,290.51,-192.1,-314.11,grenade
103,12.58,-19.88,8.16,281.45,-261.17,-319.84,grenade
104,14.93,-22.57,7.12,-206.4,-228.85,322.18,grenade
105,-6.0,-17.95,-7.52,-155.34,3.7,-310.52,grenade
106,-6.72,-11.5,-11.44,-155.34,-80.6,-310.12,grenade
107,-10.25,-6.44,-16.38,-175.42,-119.85,310.78,grenade
108,-8.53,-0.66,-7.95,66.57,-73.64,-157.07,grenade
109,-10.29,0.6,-5.8,71.08,-12.72,-133.92,grenade
110,-18.34,-5.77,-15.39,94.64,100.88,-111.13,grenade
111,-25.63,-5.02,-24.94,8.17,35.09,67.2,grenade
112,-18.45,-5.03,-23.75,-56.44,-16.37,219.05,grenade
113,-12.1,-1.69,-23.49,-242.77,71.37,-323.69,grenade
114,-6.53,-5.05,-13.03,158.06,114.17,-216.85,grenade
115,-1.36,-32.12,-8.73,155.33,146.12,-155.34,grenade
116,-2.19,-58.71,13.11,155.33,-155.34,-225.99,grenade
117,-6.46,-10.59,19.16,73.94,-155.34,128.91,grenade
118,11.67,-0.18,19.6,-224.99,155.33,48.98,grenade
119,3.56,2.02,9.65,139.96,74.88,-196.35,grenade
120,-6.25,6.23,4.05,207.45,-155.34,-59.83,grenade
121,-8.17,2.92,6.71,-73.62,46.49,-19.36,grenade
122,-3.22,5.15,10.03,26.47,-238.26,21.28,grenade
123,1.12,4.7,9.87,-39.32,-132.74,15.73,grenade
124,0.57,2.68,8.23,30.29,79.1,-11.26,grenade
125,-0.57,2.37,6.25,71.44,78.95,-26.18,grenade
126,-0.18,0.82,5.11,37.28,-133.4,-42.27,grenade
127,0.57,-2.35,3.83,9.32,-235.91,-93.19,grenade
128,0.72,-3.96,2.42,35.49,-183.02,-154.44,grenade
129,-0.09,-2.6,1.36,74.81,-78.68,-153.92,grenade
130,-1.59,1.8,-0.06,29.29,-78.57,-147.76,grenade
131,-2.65,4.68,-0.13,-51.22,-139.01,-73.3,grenade
132,-3.56,6.27,0.84,-154.06,-60.07,10.77,grenade
133,-6.39,3.91,0.05,-224.88,-118.75,134.73,grenade
134,-1.3,-4.33,4.08,245.85,-244.37,272.4,grenade
135,5.84,-12.6,9.12,315.77,-253.85,-326.92,grenade
136,10.08,-16.97,9.68,-292.68,-268.69,-290.03,grenade
137,16.68,-21.38,9.9,-270.34,-186.93,-307.21,grenade
138,9.55,-19.12,4.28,-155.6,-315.72,259.81,grenade
139,15.52,-20.81,2.65,-97.34,310.37,261.09,grenade
140,-2.8,-18.01,-4.14,-155.34,12.63,297.73,grenade
141,-6.33,-12.26,-8.26,-155.34,15.85,324.47,grenade
142,-9.44,-7.52,-10.73,-155.34,3.75,-269.81,grenade
143,-10.55,0.87,-15.81,-317.13,-114.83,-268.04,grenade
144,-9.56,2.26,-14.53,139.82,-7.9,-167.61,grenade
145,-9.63,0.94,-7.24,52.06,-10.91,-119.3,grenade
146,-11.1,2.02,-9.41,51.85,-7.05,-63.34,grenade
147,-13.21,-0.84,-15.73,40.13,-17.59,-31.11,grenade
148,-16.43,0.09,-23.87,-11.59,-20.43,34.5,grenade
149,-16.55,1.42,-24.84,-111.3,-32.87,83.47,grenade
150,-16.31,3.14,-20.27,-221.37,-29.17,166.19,grenade
151,-10.04,-2.2,-12.39,206.42,223.81,318.27,grenade
